                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70101,                 1.6421,                 1.0418,                0.93925,                0.66156,                0.93685,                0.83218,                0.51955,                 1.5116,                0.90535,               0.070366,              0.0032927,              0.0032927
                      2,                0.60269,                0.64521,                0.94861,                0.95187,                0.96412,                0.98797,                0.85816,                0.54175,                0.65287,                0.91579,                 0.0403,              0.0065604,              0.0065604
                      3,                0.63305,                0.61905,                0.96003,                0.85401,                0.88162,                0.90029,                0.72042,                0.67381,                0.74323,                 0.9897,               0.010169,              0.0097622,              0.0097622
                      4,                0.68459,                0.64745,                0.99437,                 0.9447,                0.91365,                0.96579,                0.80483,                0.61518,                 0.6719,                 1.0652,               0.009703,               0.009703,               0.009703
                      5,                0.65078,                0.57166,                0.98041,                0.88865,                0.86072,                0.93105,                0.77399,                0.64712,                0.64601,                 1.0464,               0.009604,               0.009604,               0.009604
                      6,                0.62798,                0.53869,                0.97071,                0.96869,                0.90489,                0.96005,                0.81424,                0.62554,                0.51569,                0.98226,               0.009505,               0.009505,               0.009505
                      7,                0.62024,                0.51303,                0.96585,                0.96052,                 0.9624,                0.97886,                 0.8588,                0.52456,                0.50785,                0.92433,               0.009406,               0.009406,               0.009406
                      8,                0.59237,                0.48554,                 0.9575,                0.95422,                0.95961,                0.98554,                0.86732,                0.52958,                0.41752,                0.93932,               0.009307,               0.009307,               0.009307
                      9,                0.58569,                0.46132,                0.95549,                 0.9611,                0.97075,                0.98817,                0.87495,                0.52443,                0.37487,                0.91926,               0.009208,               0.009208,               0.009208
                     10,                0.57896,                0.44274,                0.95847,                0.96304,                0.94351,                0.98233,                0.85071,                0.55966,                 0.4074,                0.93909,               0.009109,               0.009109,               0.009109
                     11,                0.57352,                0.43863,                0.95103,                0.94256,                0.95265,                0.97824,                0.86943,                0.50527,                 0.3814,                0.91374,                0.00901,                0.00901,                0.00901
                     12,                0.55426,                0.42062,                0.94424,                0.95872,                0.97493,                0.98451,                0.88607,                 0.5016,                0.35262,                0.92704,               0.008911,               0.008911,               0.008911
